"Binomial.1.2","pre_domestic_name","Order.1.2","Family.1.2","IUCN.Status.1.2","Island.Endemicity","Mass.g","LogMassKg","guild","GuildSimple","Diet.Graminoids","Diet.Browse.Fruit","Diet.Meat_median","Fermentation.Type","Inferred.Fermentation.Type","Inferred.Fermentation.Efficiency","Foot.Type","Substrate.Aquatic","Substrate.Terrestrial","Substrate.Arboreal","Substrate.Cat"
"Gazella_marica",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",20200,1.305351369,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_saudiya",NA,"Cetartiodactyla","Bovidae","EX","Occurs on mainland",16000,1.204119983,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_spekei",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",20000,1.301029996,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_subgutturosa",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",28500,1.45484486,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_tingitana",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",24874.7,1.395757852,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Hemitragus_cedrensis",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",64600,1.810232518,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Hemitragus_jemlahicus",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",35200,1.546542663,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Hippotragus_equinus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",269997.7,2.431360065,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Hippotragus_leucophaeus",NA,"Cetartiodactyla","Bovidae","EX","Occurs on mainland",150000,2.176091259,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Hippotragus_niger",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",227499.3,2.356980065,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Kobus_ellipsiprymnus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",210000.3,2.322219915,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Kobus_kob",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",78500.1,1.89487021,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Kobus_leche",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",110749,2.044339813,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",1,1,0,"semi.aquatic"
"Kobus_megaceros",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",87500.4,1.942010038,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",1,1,0,"semi.aquatic"
"Kobus_vardonii",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",71500.7,1.854310294,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Litocranius_walleri",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",37999.7,1.579780168,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Megalotragus_priscus",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",2e+05,2.301029996,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Megalovis_guangxiensis",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",70060.2,1.845471373,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Myotragus_balearicus",NA,"Cetartiodactyla","Bovidae","EP","Occurs only on isolated islands",26418,1.421899936,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Naemorhedus_baileyi",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",27487.5,1.439135242,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Naemorhedus_caudatus",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",27000,1.431363764,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Naemorhedus_goral",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",28500,1.45484486,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Naemorhedus_griseus",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",25000,1.397940009,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Nanger_dama",NA,"Cetartiodactyla","Bovidae","CR","Occurs on mainland",72999.5,1.863319885,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Nanger_granti",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",54999.7,1.740360321,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Nanger_soemmerringii",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",40000,1.602059991,"mixed feeder","mixed feeder",2,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Nilgiritragus_hylocrius",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",75000,1.875061263,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Oreamnos_americanus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",72500.3,1.860339804,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
