Binomial,Common.Name,Species.Status,Class,Order,Family,Water.Dependence,Water.Dependence.Method,Water.Dependence.Reliability,Water.Dependence.Notes,Water.Dependence.Reference,Scratch.Digging,Well.Digging,Burrowing,Rooting,Digging.Rooting.Methods,Digging.Rooting.Method.Reliability,Digging.Rooting.Notes,Digging.Rooting.Reference
Nilgiritragus hylocrius,Nilgiri Tahr,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Oreamnos americanus,Mountain Goat,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Oreamnos harringtoni,Harrington's mountain goat,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Oreotragus oreotragus,Klipspringer,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Oryx beisa,Beisa Oryx,Extant,Mammalia,Cetartiodactyla,Bovidae,Low,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Oryx dammah,Scimitar-horned Oryx,"Extinct after 1500 CE, but wild in introduced range",Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Oryx gazella,Gemsbok,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,"This species is largely free water independent, but will dig wells to groundwater.",Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hamilton et al. 1977 Madoqua,,1,,,Observed digging,3,"Gemsbok, in conjunction with Papio ursinus, dig wells to ground water in West Africa. These wells reach a meter or more in depth.",Hamilton et al. 1977 Madoqua
Oryx leucoryx,Arabian Oryx,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed low sample size (1-5) water usage,3,A free water independent species of arid to semi-arid deserts. Little is known about them in the wild because of their population decline.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Ismail et al. 2011 Journal of Arid Environments,,,,,,,,
Ourebia ourebi,Oribi,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,Thought to be free-water independent yet proximity to water does appear to be important in more arid parts of their range.,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Ovibos moschatus,Muskox,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Ovis ammon,Argali,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Ovis canadensis,Bighorn Sheep,Extant,Mammalia,Cetartiodactyla,Bovidae,Low,Observed water usage,3,"Bighorn sheep population persistence is strongly associated with water availability, although this is often contested. Some authors posit that certain populations (likely with sufficient forage) can be free water independent. Their water requirements are probably structured by demographics, with lactating ewes requiring more water than non-lactating ewes or rams.",Longshore et al. 2009 Journal of Arid Environments; Krausman 1996 Desert bighorn sheep and water: a bibliography,,,,,,,,
Ovis dalli,Thinhorn Sheep; Dall's Sheep,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Ovis nivicola,Snow Sheep,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Ovis orientalis,Mouflon,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Ovis orientalis aries,Domestic sheep,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Pantholops hodgsonii,Chiru,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Pelea capreolus,Grey Rhebok,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Pelorovis antiquus,Long-horned African buffalo,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Philantomba maxwellii,Maxwell's Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Procapra gutturosa,Mongolian Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Procapra picticaudata,Tibetan Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Procapra przewalskii,Przewalski's Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Pseudois nayaur,Blue Sheep,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Pseudoryx nghetinhensis,Saola,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Raphicerus campestris,Steenbok,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Raphicerus melanotis,Cape Grysbok,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Redunca arundinum,Southern Reedbuck,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Redunca fulvorufula,Mountain Reedbuck,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Redunca redunca,Bohor Reedbuck,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,A water dependent species according to Wilson and Mittermeier and Pacini and Harper.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Pacini and Harper 2008 Tropical stream ecology,,,,,,,,
Rupicapra pyrenaica,Pyrenean Chamois,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Rupicapra rupicapra,Northern Chamois,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Rusingoryx atopocranion,Rusingoryx,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Saiga tatarica,Saiga,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Sivacobus sankaliai,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Soergelia minor,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Spirocerus kiakhtensis,Spiral-horned antelope,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Sylvicapra grimmia,Common Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Syncerus caffer,African Buffalo,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,Free water availability limits their otherwise broad distribution.,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Tetracerus quadricornis,Four-horned Antelope,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Tragelaphus angasii,Nyala,Extant,Mammalia,Cetartiodactyla,Bovidae,Low,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Tragelaphus buxtoni,Mountain Nyala,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Tragelaphus derbianus,Giant Eland,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Tragelaphus eurycerus,Bongo,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Tragelaphus imberbis,Lesser Kudu,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Expert opinion,0,"This species is considered free water independent, but much remains unknown.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Tragelaphus oryx,Common Eland,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Tragelaphus scriptus,Bushbuck,Extant,Mammalia,Cetartiodactyla,Bovidae,Low,Observed water usage,3,Their distribution is closely linked to surface water availability.,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Tragelaphus spekii,Sitatunga,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,3,"Given this species' semi-aquatic adaptations, it is almost certainly surface water dependent.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa; Pacini and Harper 2008 Tropical stream ecology,,,,,,,,
Tragelaphus strepsiceros,Greater Kudu,Extant,Mammalia,Cetartiodactyla,Bovidae,Low,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Camelops hesternus,Extinct western camel; Camelops,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Camelidae,,,,,,,,,,,,,
Camelus dromedarius,Dromedary camel,"Extinct before 1500 CE, but wild in introduced range",Mammalia,Cetartiodactyla,Camelidae,None,Observed water usage,3,Camels can go up to 7 months without drinking water. Highly arid adapted. The difference in water retention ability between bactrian and dromedary camels is unclear.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Camelus ferus,Bactrian Camel,Extant,Mammalia,Cetartiodactyla,Camelidae,None,Observed water usage,3,Camels can go up to 7 months without drinking water. Highly arid adapted. The difference in water retention ability between bactrian and dromedary camels is unclear.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Hemiauchenia macrocephala,Large-headed llama,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Camelidae,,,,,,,,,,,,,
Hemiauchenia paradoxa,Large-headed llama,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Camelidae,,,,,,,,,,,,,
Lama guanicoe,Guanaco,Extant,Mammalia,Cetartiodactyla,Camelidae,,,,,,,,,,,,,
Palaeolama major,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Camelidae,,,,,,,,,,,,,
Palaeolama mirifica,Stout-legged llama,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Camelidae,,,,,,,,,,,,,
Palaeolama weddeli,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Camelidae,,,,,,,,,,,,,
Vicugna vicugna,Vicuna,Extant,Mammalia,Cetartiodactyla,Camelidae,,,,,,,,,,,,,
Agalmaceros blicki,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Alces alces,Moose,Extant,Mammalia,Cetartiodactyla,Cervidae,High,Inferred from habitat affinities,3,"Moose distributions are closely linked to aquatic habitats. Unclear if they are actually require free water, but is highly likely.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,,,,,,,,
Antifer ultra,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Axis axis,Chital,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Axis calamianensis,Calamian Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Axis kuhlii,Bawean Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Axis porcinus,Hog Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Blastocerus dichotomus,Marsh Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,High,Inferred from habitat affinities,2,"Unclear if this species requires free water, but it is likely given their functional adaptations for wetland habitats, for which they appear to be obligate users.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Pacini and Harper 2008 Tropical stream ecology,,,,,,,,
Candiacervus cretensis,Cretan deer,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Candiacervus dorothensis,Cretan deer,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Candiacervus major,Cretan deer,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Candiacervus rethymnensis,Cretan deer,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Candiacervus ropalophorus,Cretan deer,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Candiacervus spII,Cretan deer,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Capreolus capreolus,European Roe Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Capreolus miyakoensis,Miyako island roe deer,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Capreolus pygargus,Siberian Roe Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Cervalces scotti,Elk moose; Stag-moose,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Cervus albirostris,White-lipped Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Cervus astylodon,Ryukyu island deer,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Cervus canadensis,Wapiti,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Cervus elaphus,Red Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Cervus nippon,Sika Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Dama dama,Common Fallow Deer; European Fallow Deer; Fallow Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Dama mesopotamica,Persian Fallow Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Dicroceros spA,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Elaphodus cephalophus,Tufted Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,High,Inferred from habitat affinities,2,This species' habitat is often associated with water. Inferring free water dependence.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Elaphurus davidianus,Pere David's Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,High,Inferred from habitat affinities,0,"Inferring free water dependence from habitat affinities. Confidence is low, given low confidence for habitat affinities themselves.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Pacini and Harper 2008 Tropical stream ecology,,,,,,,,
Haploidoceros mediterraneus,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Hippocamelus antisensis,Taruca,Extant,Mammalia,Cetartiodactyla,Cervidae,High,Inferred from habitat affinities,2,Closely associated with water points. Inferring free water dependence.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,,,,,,,,
Hippocamelus bisulcus,Patagonian Huemul,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Hydropotes inermis,Water Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Mazama americana,Red Brocket,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Mazama bororo,Small Red Brocket,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Mazama bricenii,Merida Brocket,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Mazama chunyi,Peruvian Dwarf Brocket; Common Dwarf Brocket,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Mazama gouazoubira,Gray Brocket,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Mazama nana,Brazilian Dwarf Brocket,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Mazama nemorivaga,Amazonian Brown Brocket,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Mazama pandora,Yucatan Brown Brocket,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Mazama rufina,Dwarf Red Brocket,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Mazama temama,Central American Red Brocket; Mexican Red Brocket,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Megaceroides algericus,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,High,Inferred from habitat affinities,2,"Given this species' almost certain aquatic habitat affinities, we are going to infer free water dependence.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Croitor 2016 Geobios,,,,,,,,
Megaloceros giganteus,Irish elk; Giant deer,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Morenelaphus brachyceros,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Morenelaphus lujanensis,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus atherodes,Bornean Yellow Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus crinifrons,Black Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus feae,Fea's Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus gongshanensis,Gongshan Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus montanus,Sumatran Mountain Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus muntjak,Southern Red Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus putaoensis,Leaf Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus reevesi,Reeves' Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus rooseveltorum,Roosevelts' Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus truongsonensis,Annamite Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus vaginalis,Northern Red Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Muntiacus vuquangensis,Large-antlered Muntjac,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Navahoceros fricki,American mountain deer,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Odocoileus hemionus,Mule Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,Low,Observed water usage,3,"Female mule deer water nightly during the summer in Arizona, consuming 5.1 liters per visit. Males do not predictably drink water. During cooler months, females visit water less frequently.",Hervert and Krausman 1986 The Journal of Wildlife Management,,,,,,,,
Odocoileus virginianus,White-tailed Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Ozotoceros bezoarticus,Pampas Deer,Extant,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Paraceros fragilis,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
Praemegaceros cazioti,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Cervidae,,,,,,,,,,,,,
